"","Cues","Targets","Forward.Strength","Mediated.Strength"
"2740","COUSIN","FRIEND",0.06,0.035
"2741","COUSIN","NEPHEW",0.04,0
"2742","COUSIN","RELATIVE",0.24,0.038
"2743","COVER","BLANKET",0.093,0.002
"2744","COVER","SHIELD",0.033,0
"2745","COVERED","BLANKETS",0.074,0
"2746","COVERED","HIDDEN",0.047,0.002
"2747","COVERED","PROTECTED",0.034,0
"2748","COVERED","SHEETS",0.041,0.001
"2749","COVERED","SHELTER",0.027,0
"2750","COVERED","UNCOVERED",0.034,0
"2751","COW","PASTURE",0.042,0
"2752","COWARD","AFRAID",0.086,0.023
"2753","COWARD","CHICKEN",0.079,0.002
"2754","COWARD","SCARED",0.143,0.009
"2755","COWARD","YELLOW",0.079,0
"2756","COWBOY","COWGIRL",0.056,0
"2757","COWBOY","INDIAN",0.162,0
"2758","COWGIRL","COUNTRY",0.033,0.001
"2759","COWGIRL","COWBOY",0.34,0.013
"2760","COYOTE","ANIMAL",0.029,0.05
"2761","COYOTE","DESERT",0.072,0
"2762","COYOTE","ROADRUNNER",0.122,0
"2763","COZY","COMFORTABLE",0.292,0
"2764","COZY","SNUGGLE",0.031,0.001
"2765","CRAB","LOBSTER",0.128,0.016
"2766","CRAB","SEAFOOD",0.088,0.02
"2767","CRACK","COCAINE",0.208,0.013
"2768","CRACKER","BARREL",0.077,0
"2769","CRACKER","CHEESE",0.141,0.002
"2770","CRACKER","COOKIE",0.049,0
"2771","CRACKER","PARROT",0.028,0.001
"2772","CRACKER","SALTINE",0.106,0
"2773","CRACKERS","CHEESE",0.295,0
"2774","CRACKERS","COOKIES",0.062,0
"2775","CRACKERS","CRUMBS",0.027,0
"2776","CRACKERS","PEANUT BUTTER",0.048,0
"2777","CRACKERS","SALTINE",0.062,0
"2778","CRACKLE","CEREAL",0.054,0
"2779","CRADLE","CUDDLE",0.027,0.009
"2780","CRAFT","CHEESE",0.048,0.008
"2781","CRAFT","CREATE",0.041,0.008
"2782","CRAFT","POTTERY",0.028,0
"2783","CRAMP","PERIOD",0.073,0.002
"2784","CRAMP","STOMACH",0.066,0
"2785","CRANE","CONSTRUCTION",0.095,0
"2786","CRANE","MACHINE",0.088,0
"2787","CRASH","ACCIDENT",0.132,0.011
"2788","CRATER","VOLCANO",0.072,0
"2789","CRAVE","CHOCOLATE",0.043,0.002
"2790","CRAVE","DESIRE",0.121,0.109
"2791","CRAVE","HUNGER",0.114,0.004
"2792","CRAYOLA","CRAYON",0.78,0.002
"2793","CRAYOLA","MARKER",0.027,0.063
"2794","CRAYON","CRAYOLA",0.06,0
"2795","CRAYON","MARKER",0.081,0.002
"2796","CRAYON","PENCIL",0.047,0.006
"2797","CRAZY","INSANE",0.209,0
"2798","CRAZY","LOONEY",0.034,0
"2799","CRAZY","LUNATIC",0.041,0
"2800","CRAZY","PSYCHO",0.027,0
"2801","CREAM","CHEESE",0.054,0.003
"2802","CREAM","COFFEE",0.081,0.002
"2803","CREASE","WRINKLE",0.144,0.003
"2804","CREATE","DESTROY",0.186,0.025
"2805","CREATE","DEVELOP",0.041,0.001
"2806","CREATE","IMAGINATION",0.055,0
"2807","CREATE","INVENT",0.048,0
"2808","CREATION","BEGINNING",0.074,0.001
"2809","CREATION","INVENTION",0.041,0
"2810","CREATIVE","ARTIST",0.068,0.001
"2811","CREATIVE","ARTISTIC",0.116,0
"2812","CREATIVE","IMAGINATIVE",0.116,0
"2813","CREATIVE","INGENIOUS",0.027,0
"2814","CREATIVE","ORIGINAL",0.048,0.002
"2815","CREATIVE","WRITING",0.062,0.001
"2816","CREATIVITY","ARTIST",0.101,0.003
"2817","CREATIVITY","ARTISTIC",0.074,0
"2818","CREATIVITY","IMAGINATION",0.054,0
"2819","CREATIVITY","INTELLIGENCE",0.027,0
"2820","CREATIVITY","TALENT",0.034,0.01
"2821","CREATIVITY","WRITING",0.027,0.001
"2822","CREATOR","ARTIST",0.039,0
"2823","CREATOR","DESTROYER",0.039,0
"2824","CREATOR","INVENTOR",0.137,0
"2825","CREATOR","MASTER",0.065,0
"2826","CREATURE","ANIMAL",0.266,0.014
"2827","CREATURE","DINOSAUR",0.026,0
"2828","CREATURE","FEATURE",0.039,0
"2829","CREATURE","LAGOON",0.032,0
"2830","CREATURE","MONSTER",0.286,0.001
"2831","CREEK","STREAM",0.048,0.076
"2832","CRESCENT","WRENCH",0.04,0
"2833","CREST","TOOTHPASTE",0.345,0
"2834","CREW","PEOPLE",0.053,0.007
"2835","CREW","ROWING",0.026,0
"2836","CRICKET","ANNOYING",0.027,0
"2837","CRICKET","GRASSHOPPER",0.074,0
"2838","CRICKET","INSECT",0.169,0.055
"2839","CRIME","CRIMINAL",0.07,0.01
"2840","CRIME","PRISON",0.035,0.023
"2841","CRIME","PUNISHMENT",0.063,0
"2842","CRIME","ROBBERY",0.028,0
"2843","CRIME","VIOLENT",0.035,0.001
"2844","CRIMINAL","JUSTICE",0.096,0.003
"2845","CRIMINAL","ROBBER",0.026,0.023
"2846","CRISIS","DANGER",0.034,0.004
"2847","CRISIS","DILEMMA",0.034,0
"2848","CRISIS","DISASTER",0.034,0.005
"2849","CRISIS","EMERGENCY",0.068,0
"2850","CRISIS","PROBLEM",0.096,0.03
"2851","CRISIS","STRESS",0.027,0.005
"2852","CRISIS","TRAGEDY",0.034,0.004
"2853","CRISIS","TROUBLE",0.048,0.007
"2854","CRISP","CEREAL",0.026,0.015
"2855","CRISP","CRACKER",0.038,0.002
"2856","CRISP","CRUNCH",0.064,0
"2857","CRISP","CRUNCHY",0.167,0.001
"2858","CRISP","LETTUCE",0.077,0
"2859","CRISP","STARCH",0.026,0
"2860","CRITERION","AGENDA",0.028,0.001
"2861","CRITERION","CRITERIA",0.042,0
"2862","CRITERION","IMPORTANCE",0.035,0
"2863","CRITERION","REQUIREMENT",0.049,0
"2864","CRITERION","SCHEDULE",0.028,0.007
"2865","CRITIC","ANALYZE",0.054,0
"2866","CRITIC","CRITICIZE",0.041,0.002
"2867","CRITIC","NEWSPAPER",0.027,0
"2868","CRITIC","OPINION",0.034,0.001
"2869","CRITIC","SKEPTIC",0.027,0
"2870","CRITICAL","CONDITION",0.036,0
"2871","CRITICAL","CRUCIAL",0.043,0
"2872","CRITICAL","IMPORTANT",0.171,0
"2873","CRITICAL","THINKING",0.114,0
"2874","CRITICISM","CONSTRUCTIVE",0.077,0
"2875","CRITICISM","NEGATIVE",0.035,0
"2876","CRITICISM","PRAISE",0.028,0
"2877","CRITICIZE","COMPLAIN",0.061,0
"2878","CRITICIZE","CRITIQUE",0.034,0
"2879","CRITICIZE","PUT DOWN",0.068,0.003
"2880","CRITICIZE","RIDICULE",0.027,0
"2881","CROCHET","BLANKET",0.033,0.004
"2882","CROCHET","GRANDMA",0.04,0.004
"2883","CROCHET","NEEDLE",0.073,0.044
"2884","CROCODILE","ALLIGATOR",0.629,0.005
"2885","CROCODILE","REPTILE",0.05,0.03
"2886","CROOK","BURGLAR",0.027,0.045
"2887","CROOK","CRIMINAL",0.047,0.011
"2888","CROOK","ROBBER",0.128,0.107
"2889","CROOKED","STRAIGHT",0.242,0.032
"2890","CROPS","FARMER",0.034,0.002
"2891","CROPS","HARVEST",0.034,0
"2892","CROSS","CHRISTIAN",0.036,0.004
"2893","CROSS","CHURCH",0.079,0.025
"2894","CROSS","COUNTRY",0.072,0
"2895","CROSS","CRISSCROSS",0.036,0
"2896","CROSS","RELIGION",0.05,0.035
"2897","CROSS","STREET",0.043,0.013
"2898","CROSSING","RAILROAD",0.187,0.001
"2899","CROSSING","SCHOOL",0.033,0
"2900","CROSSING","STREET",0.147,0.027
"2901","CROW","SCARECROW",0.034,0
"2902","CROWD","CONCERT",0.036,0.001
"2903","CROWD","PEOPLE",0.485,0.023
"2904","CRUISE","BAHAMAS",0.034,0
"2905","CRUISE","VACATION",0.034,0
"2906","CRUMB","COOKIE",0.158,0.005
"2907","CRUMB","CRACKER",0.027,0
"2908","CRUNCH","CEREAL",0.032,0.003
"2909","CRUNCH","CRACKLE",0.045,0.003
"2910","CRUNCH","GRANOLA",0.026,0
"2911","CRUNCH","NESTLES",0.026,0
"2912","CRUNCHY","CEREAL",0.079,0.001
"2913","CRUNCHY","CHOCOLATE",0.029,0.008
"2914","CRUNCHY","PEANUT BUTTER",0.079,0
"2915","CRUNCHY","SMOOTH",0.05,0.001
"2916","CRUSH","DESTROY",0.027,0.023
"2917","CRUSH","ORANGE",0.109,0.001
"2918","CRUSH","SQUASH",0.027,0.004
"2919","CRUSH","SQUISH",0.027,0
"2920","CRUTCH","BROKEN",0.133,0.009
"2921","CRUTCH","CRIPPLE",0.048,0
"2922","CRYSTAL","DIAMOND",0.062,0.01
"2923","CUBE","SQUARE",0.299,0.025
"2924","CUCUMBER","GARDEN",0.032,0
"2925","CUCUMBER","PICKLES",0.238,0
"2926","CUCUMBER","TOMATO",0.071,0.011
"2927","CUCUMBER","VEGETABLES",0.214,0.025
"2928","CUDDLE","SNUGGLE",0.042,0
"2929","CUDDLE","TEDDY BEAR",0.035,0
"2930","CUE","SIGNAL",0.034,0.001
"2931","CUFF","CUFF LINK",0.158,0
"2932","CUFF","POLICE",0.034,0.008
"2933","CUFF","SLEEVE",0.144,0.009
"2934","CULTURE","BACKGROUND",0.041,0.002
"2935","CULTURE","CUSTOM",0.026,0.002
"2936","CULTURE","ENVIRONMENT",0.026,0
"2937","CULTURE","LIFESTYLE",0.057,0
"2938","CULTURE","PEOPLE",0.026,0.032
"2939","CULTURE","SOCIETY",0.119,0.001
"2940","CULTURE","TRADITION",0.041,0.005
"2941","CUNNING","CONNIVING",0.027,0
"2942","CUNNING","DECEIVE",0.048,0
"2943","CUNNING","SNEAKY",0.048,0.03
"2944","CUP","COFFEE",0.105,0.031
"2945","CUP","SAUCER",0.418,0.001
"2946","CUPBOARD","CABINET",0.151,0.004
"2947","CUPBOARD","DISHES",0.105,0.021
"2948","CUPBOARD","GLASSES",0.039,0.003
"2949","CUPBOARD","KITCHEN",0.072,0.024
"2950","CUPBOARD","PLATES",0.046,0.011
"2951","CUPS","COFFEE",0.04,0
"2952","CUPS","GLASSES",0.14,0.004
"2953","CUPS","MEASUREMENT",0.027,0
"2954","CUPS","PLATES",0.06,0
"2955","CUPS","SAUCERS",0.2,0
"2956","CURB","CEMENT",0.027,0.011
"2957","CURB","SIDEWALK",0.149,0.005
"2958","CURB","STREET",0.196,0.078
"2959","CURE","CANCER",0.035,0.004
"2960","CURE","DISEASE",0.111,0.02
"2961","CURE","DOCTOR",0.028,0.017
"2962","CURE","HEALTHY",0.028,0.001
"2963","CURE","MEDICINE",0.076,0.014
"2964","CURE","REMEDY",0.056,0
"2965","CURIOSITY","CURIOUS",0.041,0.008
"2966","CURIOSITY","INQUISITIVE",0.028,0
"2967","CURIOSITY","INTEREST",0.055,0
"2968","CURIOSITY","WONDER",0.062,0.002
"2969","CURIOUS","GEORGE",0.193,0
"2970","CURIOUS","INQUISITIVE",0.033,0
"2971","CURIOUS","INTERESTED",0.053,0
"2972","CURIOUS","MONKEY",0.067,0.013
"2973","CURIOUS","QUESTION",0.047,0.001
"2974","CURIOUS","WONDER",0.06,0
"2975","CURRENT","AFFAIR",0.04,0
"2976","CURRENT","ELECTRICITY",0.027,0
"2977","CURRENT","RECENT",0.08,0.002
"2978","CURRENT","STREAM",0.027,0.006
"2979","CURRENT","UPDATE",0.04,0
"2980","CURSE","VOO DOO",0.041,0
"2981","CURSIVE","HANDWRITING",0.054,0
"2982","CURSIVE","MANUSCRIPT",0.054,0
"2983","CURSIVE","SCRIPT",0.088,0
"2984","CURSIVE","WRITING",0.378,0
"2985","CURTAIN","DRAPES",0.26,0.001
"2986","CURTAIN","SHOWER",0.031,0
"2987","CURTAIN","WINDOW",0.189,0.028
"2988","CURTAINS","BLINDS",0.122,0.021
"2989","CURTAINS","DRAPES",0.196,0.004
"2990","CURTAINS","WINDOW",0.182,0.048
"2991","CURVE","CIRCLE",0.03,0.017
"2992","CURVE","STRAIGHT",0.285,0.006
"2993","CURVED","CROOKED",0.027,0.044
"2994","CURVED","STRAIGHT",0.187,0.03
"2995","CUSHION","PILLOW",0.194,0.003
"2996","CUSS","PROFANITY",0.047,0
"2997","CUSTARD","DESSERT",0.079,0.026
"2998","CUSTARD","MUSTARD",0.033,0
"2999","CUSTARD","PUDDING",0.263,0.004
"3000","CUSTARD","YELLOW",0.026,0.003
"3001","CUSTARD","YOGURT",0.033,0
"3002","CUSTOM","COUNTRY",0.028,0.003
"3003","CUSTOM","CULTURE",0.042,0.011
"3004","CUSTOM","RITUAL",0.049,0.006
"3005","CUSTOM","TRADITION",0.19,0.006
"3006","CUSTOMER","CLIENT",0.149,0
"3007","CUSTOMER","CONSUMER",0.034,0
"3008","CUSTOMER","PATIENT",0.027,0
"3009","CUSTOMER","PERSON",0.047,0.002
"3010","CUSTOMER","SATISFACTION",0.027,0
"3011","CUSTOMER","SERVICE",0.095,0
"3012","CUT","SCISSORS",0.034,0
"3013","CUT","THROAT",0.073,0
"3014","CUTE","ADORABLE",0.064,0
"3015","CUTE","CUDDLY",0.028,0
"3016","CUTE","HANDSOME",0.028,0.001
"3017","CUTE","PRETTY",0.203,0.051
"3018","CYCLE","BICYCLE",0.088,0.006
"3019","CYCLE","CIRCLE",0.068,0.003
"3020","CYCLONE","DESTRUCTION",0.041,0.02
"3021","CYCLONE","DISASTER",0.048,0.009
"3022","CYCLONE","HURRICANE",0.102,0.114
"3023","CYCLONE","TORNADO",0.313,0.033
"3024","CYCLONE","TWISTER",0.034,0
"3025","CYCLONE","WEATHER",0.027,0.011
"3026","CYLINDER","CIRCLE",0.061,0.048
"3027","CYLINDER","CONTAINER",0.03,0
"3028","CYLINDER","ENGINE",0.04,0.005
"3029","CYLINDER","PISTON",0.03,0
"3030","DAD","FATHER",0.131,0
"3031","DAILY","ALWAYS",0.048,0.008
"3032","DAILY","EVERYDAY",0.062,0.007
"3033","DAILY","MONTHLY",0.034,0.019
"3034","DAILY","NEWSPAPER",0.062,0.002
"3035","DAILY","ROUTINE",0.076,0.004
"3036","DAILY","WEEKLY",0.076,0.007
"3037","DAIRY","CHEESE",0.039,0.012
"3038","DAIRY","JOURNAL",0.026,0
"3039","DAIRY","PRIVATE",0.039,0.004
"3040","DAIRY","PRODUCT",0.032,0
"3041","DAIRY","SECRET",0.052,0.004
"3042","DAISY","FLOWER",0.689,0.038
"3043","DAISY","YELLOW",0.041,0
"3044","DAM","BEAVER",0.154,0
"3045","DAM","HOOVER",0.027,0
"3046","DAMAGE","ACCIDENT",0.048,0.005
"3047","DAMAGE","BROKEN",0.076,0.005
"3048","DAMAGE","DESTROY",0.048,0.029
"3049","DAMAGE","DESTRUCTION",0.028,0.001
"3050","DAMN","CONDEMN",0.034,0
"3051","DAMN","YANKEE",0.027,0
"3052","DAMP","MILDEW",0.027,0.001
"3053","DANCE","BALLET",0.081,0.002
"3054","DANCE","MOVEMENT",0.041,0
"3055","DANCER","BALLET",0.255,0.004
"3056","DANCER","EXOTIC",0.026,0
"3057","DANCER","PERFORMER",0.026,0
"3058","DANCER","PRANCER",0.026,0
"3059","DANCER","SINGER",0.072,0.001
"3060","DANDELION","FLOWER",0.653,0.03
"3061","DANDELION","YELLOW",0.047,0.001
"3062","DANDRUFF","FLAKES",0.229,0
"3063","DANDRUFF","HEAD & SHOULDERS",0.092,0
"3064","DANDRUFF","SHAMPOO",0.098,0.06
"3065","DANGER","ACCIDENT",0.027,0.001
"3066","DANGER","CAUTION",0.041,0.003
"3067","DANGER","TROUBLE",0.048,0
"3068","DANGER","WARNING",0.041,0.002
"3069","DANGEROUS","HARMFUL",0.053,0.001
"3070","DANGEROUS","HAZARD",0.03,0
"3071","DARE","CHALLENGE",0.064,0.001
"3072","DARE","DOUBLE",0.057,0
"3073","DARE","THREAT",0.057,0
"3074","DARING","ADVENTUROUS",0.096,0
"3075","DARING","COURAGE",0.061,0.036
"3076","DARING","DANGER",0.056,0.018
"3077","DATA","COMPUTER",0.317,0.009
"3078","DATA","INFORMATION",0.269,0.001
"3079","DATA","PROCESS",0.028,0
"3080","DATA","PROCESSOR",0.034,0
"3081","DATE","CALENDAR",0.063,0
"3082","DAUGHTER","FATHER",0.042,0.138
"3083","DAUGHTER","MOTHER",0.132,0.036
"3084","DAUGHTER","SISTER",0.09,0.017
"3085","DAWN","DAYBREAK",0.03,0
"3086","DAWN","MORNING",0.206,0.014
"3087","DAWN","SUNRISE",0.061,0.019
"3088","DAWN","SUNSET",0.03,0.051
"3089","DAYS","MONDAY",0.026,0
"3090","DAYS","NIGHTS",0.368,0
"3091","DAYS","SOAP OPERA",0.026,0
"3092","DEAD","FUNERAL",0.03,0.001
"3093","DEADLY","DANGEROUS",0.096,0.003
"3094","DEADLY","LETHAL",0.055,0
"3095","DEADLY","LIVELY",0.034,0
"3096","DEADLY","MURDER",0.027,0.014
"3097","DEADLY","POISON",0.178,0.002
"3098","DEAF","SILENCE",0.057,0.005
"3099","DEAL","AGREEMENT",0.042,0.003
"3100","DEAL","BARGAIN",0.028,0
"3101","DEAL","SHUFFLE",0.035,0
"3102","DEATH","BURIAL",0.032,0
"3103","DEBATE","ARGUMENT",0.055,0.002
"3104","DEBATE","DISCUSS",0.034,0.001
"3105","DEBT","PAYMENT",0.063,0.005
"3106","DECADE","CENTURY",0.149,0
"3107","DECAY","DECOMPOSE",0.061,0.005
"3108","DECAY","DETERIORATE",0.03,0.012
"3109","DECAY","FORGET",0.04,0
"3110","DECEIVE","BETRAY",0.047,0
"3111","DECENCY","EXPOSURE",0.026,0
"3112","DECENCY","GOODNESS",0.036,0
"3113","DECENCY","MANNERS",0.031,0.003
"3114","DECENCY","MORALITY",0.072,0
"3115","DECENCY","PROPER",0.046,0.001
"3116","DECENCY","RESPECT",0.031,0
"3117","DECEPTION","DECEIT",0.038,0
"3118","DECEPTION","HONESTY",0.031,0
"3119","DECIDE","CHOICE",0.068,0.047
"3120","DECIDE","CHOOSE",0.142,0.005
"3121","DECIDE","CONFUSION",0.034,0
"3122","DECIDE","DECISION",0.115,0.025
"3123","DECIDE","DETERMINE",0.027,0
"3124","DECIDE","PROBLEM",0.027,0.001
"3125","DECIDE","UNDECIDED",0.041,0
"3126","DECISION","CHOICE",0.296,0.004
"3127","DECISION","DECIDE",0.056,0
"3128","DECLINE","ACCEPT",0.046,0.007
"3129","DECLINE","DECREASE",0.026,0.012
"3130","DECLINE","INCLINE",0.039,0
"3131","DECLINE","INCREASE",0.026,0.014
"3132","DECLINE","REFUSE",0.046,0.008
"3133","DECLINE","REJECT",0.026,0.008
"3134","DECLINE","TURN DOWN",0.026,0
"3135","DECOMPOSE","BREAKDOWN",0.033,0
"3136","DECOMPOSE","COMPOSE",0.047,0
"3137","DECOMPOSE","DETERIORATE",0.04,0.007
"3138","DECORATE","BEAUTIFY",0.033,0
"3139","DECORATE","CHRISTMAS",0.033,0
"3140","DECORATE","DESIGN",0.056,0.003
"3141","DECORATE","FURNISH",0.033,0
"3142","DECORATE","INTERIOR",0.028,0.002
"3143","DECORATE","PRETTY",0.078,0
"3144","DECORATION","CHRISTMAS",0.061,0.024
"3145","DECORATION","DESIGN",0.041,0
"3146","DECORATION","HOLIDAY",0.027,0.008
"3147","DECORATION","ORNAMENT",0.034,0
"3148","DECORATION","PRETTY",0.109,0.003
"3149","DECREASE","INCREASE",0.523,0.002
"3150","DEEP","SHALLOW",0.307,0.001
"3151","DEER","ANIMAL",0.125,0.008
"3152","DEER","ANTLER",0.069,0.001
"3153","DEER","FOREST",0.056,0.004
"3154","DEER","HUNTING",0.028,0
"3155","DEFEAT","CONQUER",0.033,0.003
"3156","DEFEAT","VICTORY",0.039,0.005
"3157","DEFEND","COUNTRY",0.034,0
"3158","DEFEND","LAWYER",0.041,0.003
"3159","DEFEND","OFFEND",0.041,0
"3160","DEFEND","PROTECT",0.228,0
"3161","DEFENSE","ATTORNEY",0.028,0.004
"3162","DEFENSE","FOOTBALL",0.062,0.039
"3163","DEFENSE","KARATE",0.028,0
"3164","DEFENSE","LAWYER",0.041,0.011
"3165","DEFENSE","MECHANISM",0.028,0
"3166","DEFENSE","OFFENSE",0.297,0
"3167","DEFENSE","PROTECT",0.062,0.007
"3168","DEFINE","CLARIFY",0.028,0.002
"3169","DEFINE","DEFINITION",0.035,0.012
"3170","DEFINE","DESCRIBE",0.035,0.01
"3171","DEFINE","DICTIONARY",0.153,0.016
"3172","DEFINE","EXPLAIN",0.132,0.022
"3173","DEFINE","VOCABULARY",0.042,0.005
"3174","DEFINITION","DESCRIBE",0.057,0.013
"3175","DEFINITION","DICTIONARY",0.114,0.013
"3176","DEFINITION","EXPLAIN",0.2,0.022
"3177","DEFINITION","MEANING",0.229,0.006
"3178","DEFINITION","UNDERSTAND",0.029,0.024
"3179","DEFROST","FREEZE",0.047,0.046
"3180","DEFROST","FROZEN",0.054,0.018
"3181","DEFROST","REFRIGERATOR",0.061,0.003
"3182","DEGRADE","DEMEAN",0.034,0
"3183","DEGRADE","EMBARRASS",0.041,0.02
"3184","DEGRADE","HUMILIATE",0.034,0.004
"3185","DEGRADE","INSULT",0.041,0.032
"3186","DEGRADE","PUT DOWN",0.216,0.001
"3187","DEGRADE","UPGRADE",0.034,0
"3188","DEGREE","BACHELOR",0.034,0
"3189","DEGREE","COLLEGE",0.164,0.012
"3190","DEGREE","DEODORANT",0.034,0
"3191","DEGREE","DIPLOMA",0.055,0
"3192","DEGREE","DOCTORAL",0.034,0
"3193","DEGREE","EDUCATION",0.027,0.015
"3194","DEGREE","MASTERS",0.027,0
"3195","DEGREE","SCHOOL",0.075,0.052
"3196","DEGREE","TEMPERATURE",0.158,0.005
"3197","DELAY","POSTPONE",0.039,0
"3198","DELAY","PROCRASTINATE",0.026,0
"3199","DELICATE","BREAKABLE",0.039,0.06
"3200","DELICATE","FLOWER",0.039,0.008
"3201","DELICATE","FRAGILE",0.286,0.013
"3202","DELICATE","GENTLE",0.039,0.01
"3203","DELICIOUS","SCRUMPTIOUS",0.027,0
"3204","DELIGHT","PLEASURE",0.031,0.005
"3205","DELINQUENT","ADOLESCENT",0.027,0.005
"3206","DELINQUENT","CRIMINAL",0.034,0.002
"3207","DELINQUENT","JUVENILE",0.204,0
"3208","DELINQUENT","TROUBLE",0.041,0.005
"3209","DELIVER","PACKAGE",0.044,0.002
"3210","DELIVER","RECEIVE",0.083,0.043
"3211","DEMAND","COMMAND",0.036,0
"3212","DEMAND","REQUEST",0.026,0
"3213","DEMAND","SUPPLY",0.148,0
"3214","DEMOCRACY","AMERICA",0.027,0.022
"3215","DEMOCRACY","COMMUNISM",0.041,0
"3216","DEMOCRACY","FREEDOM",0.108,0.025
"3217","DEMOCRACY","GOVERNMENT",0.128,0.014
"3218","DEMOCRACY","PEOPLE",0.041,0.002
"3219","DEMOCRACY","POLITICS",0.061,0.023
"3220","DEMOCRACY","REPUBLIC",0.088,0
"3221","DEMOCRACY","REPUBLICAN",0.081,0.015
"3222","DEMOCRAT","CLINTON",0.11,0
"3223","DEMOCRAT","POLITICS",0.062,0.012
"3224","DEMOCRAT","PRESIDENT",0.062,0.018
"3225","DEMOCRAT","REPUBLICAN",0.507,0.003
"3226","DEMOLISH","DESTROY",0.539,0.039
"3227","DEMON","MONSTER",0.027,0.001
"3228","DEMON","POSSESSED",0.033,0
"3229","DENIAL","ACCEPT",0.032,0.014
"3230","DENIAL","REFUSE",0.167,0.005
"3231","DENIAL","REFUTE",0.032,0
"3232","DENIAL","REJECT",0.048,0.01
"3233","DENSE","FOREST",0.034,0
"3234","DENSE","STUPID",0.196,0.036
"3235","DENT","ACCIDENT",0.081,0.008
"3236","DENT","DAMAGE",0.041,0
"3237","DENT","SCRATCH",0.081,0
"3238","DENTIST","DOCTOR",0.214,0.003
"3239","DENTIST","OFFICE",0.031,0.002
"3240","DENTIST","ORTHODONTIST",0.051,0
"3241","DENY","ACCEPT",0.048,0.009
"3242","DENY","REFUSE",0.048,0.004
"3243","DENY","REJECT",0.041,0.007
"3244","DEODORANT","ANTIPERSPIRANT",0.041,0
"3245","DEODORANT","SECRET",0.027,0
"3246","DEPART","AIRPLANE",0.054,0.001
"3247","DEPART","ARRIVE",0.075,0.03
"3248","DEPART","SEPARATE",0.027,0
"3249","DEPARTMENT","DIVISION",0.04,0
"3250","DEPARTMENT","SECTION",0.053,0.001
"3251","DEPEND","COUNT ON",0.026,0
"3252","DEPEND","DIAPERS",0.04,0
"3253","DEPEND","FRIEND",0.066,0.016
"3254","DEPEND","INDEPENDENT",0.066,0.006
"3255","DEPEND","PARENTS",0.04,0
"3256","DEPEND","UNDERGARMENT",0.132,0
"3257","DEPENDENT","INDEPENDENT",0.318,0
"3258","DEPENDENT","SPOUSE",0.026,0.001
"3259","DEPLETION","SHORTAGE",0.026,0
"3260","DEPOSIT","WITHDRAW",0.105,0
"3261","DEPRESSED","LONELY",0.054,0.003
"3262","DEPRESSED","UNHAPPY",0.027,0.028
"3263","DEPRESSION","SADNESS",0.102,0
"3264","DEPTH","HEIGHT",0.069,0.009
"3265","DEPTH","LENGTH",0.028,0.037
"3266","DEPTH","SHALLOW",0.062,0.073
"3267","DEPUTY","OFFICER",0.036,0.025
"3268","DEPUTY","POLICE",0.129,0.261
"3269","DEPUTY","SHERIFF",0.679,0
"3270","DESCEND","ASCEND",0.075,0.001
"3271","DESCENT","ASCENT",0.079,0
"3272","DESCRIBE","DETAIL",0.029,0.001
"3273","DESCRIBE","ELABORATE",0.029,0
"3274","DESCRIBE","EXPLAIN",0.371,0.013
"3275","DESIGN","ARCHITECT",0.027,0
"3276","DESIGN","CLOTHES",0.062,0.011
"3277","DESIGN","CREATE",0.192,0.032
"3278","DESIGN","INTERIOR",0.027,0
"3279","DESIGN","INVENT",0.041,0.009
"3280","DESIGNER","CLOTHES",0.427,0.027
"3281","DESIGNER","EXPENSIVE",0.027,0.006
"3282","DESIGNER","FASHION",0.06,0.031
"3283","DESPAIR","ANGUISH",0.027,0
"3284","DESPAIR","DEPRESSED",0.034,0.011
"3285","DESPAIR","DEPRESSION",0.027,0.003
"3286","DESPAIR","HOPELESS",0.041,0
"3287","DESPAIR","SORROW",0.041,0.007
"3288","DESPISE","DISLIKE",0.033,0.031
"3289","DESSERT","CHOCOLATE",0.047,0.034
"3290","DESSERT","DINNER",0.068,0
"3291","DESSERT","ICE CREAM",0.115,0.019
"3292","DESTINY","FUTURE",0.221,0.004
"3293","DESTROY","ANNIHILATE",0.028,0.002
"3294","DESTROY","DAMAGE",0.067,0.003
"3295","DESTROY","DEMOLISH",0.072,0.001
"3296","DESTROY","REBUILD",0.033,0
"3297","DESTRUCTION","DESTROY",0.159,0.041
"3298","DETACH","ATTACH",0.088,0.001
"3299","DETACH","REMOVE",0.075,0.004
"3300","DETACH","SEPARATE",0.19,0.018
"3301","DETAIL","DESCRIPTION",0.026,0
"3302","DETAIL","EXPLANATION",0.026,0.001
"3303","DETAIL","PRECISE",0.079,0.006
"3304","DETAIL","SPECIFIC",0.099,0
"3305","DETECTIVE","INSPECTOR GADGET",0.046,0
"3306","DETECTIVE","INVESTIGATOR",0.053,0
"3307","DETECTIVE","MYSTERY",0.046,0.002
"3308","DETECTIVE","POLICE",0.151,0.065
"3309","DETECTIVE","PRIVATE",0.066,0.001
"3310","DETECTIVE","SHERLOCK HOLMES",0.039,0
"3311","DETECTIVE","SLEUTH",0.026,0
"3312","DETERGENT","BLEACH",0.027,0.011
"3313","DETERGENT","CLOTHES",0.157,0.037
"3314","DETERGENT","DISHES",0.027,0
"3315","DETERGENT","LAUNDRY",0.078,0.002
"3316","DETERIORATE","BREAKDOWN",0.034,0
"3317","DETERIORATE","CRUMBLE",0.028,0
"3318","DETERIORATE","DIMINISH",0.028,0
