"","Word","n"
"1507","Goodbye",5
"1508","goodness",3
"1509","gorgeous",2
"1510","gorilla",2
"1511","gossip",4
"1512","governor",2
"1513","graceful",3
"1514","gracious",2
"1515","graduate",1
"1516","graduation",2
"1517","Graham",1
"1518","grammar",4
"1519","grandchild",1
"1520","grandfather",2
"1521","Grandma",7
"1522","grandmother",2
"1523","Grandpa",1
"1524","grandparent",2
"1525","grandparents",2
"1526","granola",1
"1527","grapefruit",1
"1528","grasshopper",1
"1529","grateful",1
"1530","gratitude",1
"1531","graveyard",1
"1532","gravity",1
"1533","grease",10
"1534","greasy",2
"1535","greater",1
"1536","greatest",1
"1537","greedy",1
"1538","Greeks",1
"1539","greens",1
"1540","greeting",3
"1541","grizzly",1
"1542","groceries",6
"1543","grocery",3
"1544","ground",18
"1545","grounded",1
"1546","grounds",2
"1547","growth",4
"1548","grumble",1
"1549","guardian",1
"1550","guardians",1
"1551","guilty",13
"1552","guitar",13
"1553","gullible",2
"1554","gymnast",1
"1555","gymnastics",6
"1556","haircut",1
"1557","hairspray",2
"1558","Hallelujah",1
"1559","Hallmark",1
"1560","Halloween",13
"1561","hallucination",2
"1562","hallway",5
"1563","hamburger",14
"1564","hammer",17
"1565","hammock",1
"1566","handbag",1
"1567","handcuffs",1
"1568","handicap",3
"1569","handicapped",2
"1570","handkerchief",1
"1571","handle",8
"1572","handsome",3
"1573","handwriting",2
"1574","hanger",5
"1575","hangover",1
"1576","happen",3
"1577","happening",2
"1578","happiness",10
"1579","Harbor",1
"1580","hardly",1
"1581","Harlem",1
"1582","harmful",2
"1583","Harmony",2
"1584","harvest",2
"1585","hassle",1
"1586","hatchet",1
"1587","Hawaii",4
"1588","Hawaiian",1
"1589","haystack",1
"1590","hazard",1
"1591","headache",13
"1592","headband",1
"1593","headed",1
"1594","heading",2
"1595","health",7
"1596","healthy",10
"1597","hearing",1
"1598","hearted",1
"1599","hearth",1
"1600","hearts",1
"1601","heater",1
"1602","heaven",14
"1603","heavier",1
"1604","hectic",2
"1605","hedgehog",1
"1606","height",11
"1607","helium",2
"1608","helmet",1
"1609","helper",4
"1610","helpful",5
"1611","helpless",1
"1612","herbal",1
"1613","hereditary",1
"1614","heredity",1
"1615","heritage",1
"1616","heroin",1
"1617","heroine",1
"1618","hesitate",1
"1619","hidden",7
"1620","higher",2
"1621","highest",1
"1622","highlight",1
"1623","highlighter",1
"1624","highway",8
"1625","hiking",1
"1626","hilarious",1
"1627","hinder",1
"1628","hindrance",1
"1629","hindsight",1
"1630","hippie",2
"1631","Hispanic",2
"1632","history",6
"1633","hitchhike",2
"1634","Hitler",2
"1635","hitter",1
"1636","hockey",4
"1637","holder",5
"1638","holiday",10
"1639","holler",3
"1640","holster",1
"1641","homeless",8
"1642","homework",3
"1643","honest",11
"1644","honesty",6
"1645","honeymoon",1
"1646","hooked",1
"1647","hooker",1
"1648","Hoover",1
"1649","hopeful",2
"1650","hopeless",2
"1651","Hopper",1
"1652","hormone",1
"1653","hormones",2
"1654","horoscope",1
"1655","horrible",2
"1656","horror",7
"1657","horses",1
"1658","hospital",21
"1659","hospitality",1
"1660","hostage",2
"1661","hostess",1
"1662","hotter",2
"1663","hourly",1
"1664","houses",1
"1665","housing",2
"1666","humble",3
"1667","humiliate",2
"1668","hundred",2
"1669","hunger",4
"1670","hungry",13
"1671","Hunter",2
"1672","hunting",1
"1673","hurdle",1
"1674","hurricane",9
"1675","hurried",1
"1676","hurtful",1
"1677","husband",4
"1678","hydrogen",5
"1679","hygiene",2
"1680","hyperactive",1
"1681","hypnotist",1
"1682","hypnotize",2
"1683","hypothesis",4
"1684","iceberg",1
"1685","ideals",1
"1686","identical",1
"1687","identification",2
"1688","identity",1
"1689","ignorance",1
"1690","ignorant",1
"1691","ignore",5
"1692","iguana",1
"1693","illegal",6
"1694","illness",10
"1695","illusion",3
"1696","illustrated",1
"1697","imaginary",1
"1698","imagination",3
"1699","imaginative",1
"1700","imagine",4
"1701","imbalance",1
"1702","imitate",2
"1703","immature",2
"1704","immediate",3
"1705","immoral",1
"1706","impaired",1
"1707","impatience",2
"1708","impatient",1
"1709","impediment",1
"1710","imperfect",1
"1711","implode",1
"1712","importance",1
"1713","important",20
"1714","impossible",3
"1715","impress",1
"1716","impressed",2
"1717","impulse",3
"1718","inability",1
"1719","inactive",1
"1720","incapable",1
"1721","incident",1
"1722","incline",2
"1723","incognito",1
"1724","income",3
"1725","Incoming",1
"1726","incompetent",1
"1727","incomplete",1
"1728","incorporate",1
"1729","incorrect",3
"1730","increase",7
"1731","incredible",1
"1732","independent",3
"1733","Indian",17
"1734","Indians",1
"1735","indifference",1
"1736","indirect",1
"1737","individual",2
"1738","indoors",1
"1739","industry",1
"1740","inexpensive",1
"1741","infamous",1
"1742","infant",2
"1743","infatuation",1
"1744","infection",3
"1745","inferior",1
"1746","inferno",1
"1747","infinite",1
"1748","infinity",4
"1749","inflation",1
"1750","influence",2
"1751","inform",3
"1752","informal",2
"1753","information",9
"1754","infrequent",1
"1755","ingenious",1
"1756","ingest",1
"1757","ingredient",2
"1758","ingredients",1
"1759","ingrown",1
"1760","inhale",4
"1761","injection",1
"1762","injury",7
"1763","inmate",1
"1764","innocence",2
"1765","innocent",7
"1766","inquire",1
"1767","inquisitive",2
"1768","insane",1
"1769","insect",17
"1770","insecure",1
"1771","inside",8
"1772","insight",2
"1773","instant",2
"1774","instinct",1
"1775","instruct",1
"1776","instruction",2
"1777","instructions",1
"1778","instructor",2
"1779","instrument",25
"1780","insult",5
"1781","insurance",5
"1782","integrate",1
"1783","integrity",1
"1784","intellectual",1
"1785","intelligence",9
"1786","intelligent",9
"1787","intensity",1
"1788","intensive",1
"1789","intent",1
"1790","intercourse",2
"1791","interest",4
"1792","interested",1
"1793","interesting",3
"1794","interior",2
"1795","international",1
"1796","internet",1
"1797","interpret",1
"1798","interrupt",1
"1799","interstate",3
"1800","intertwine",1
"1801","intestine",1
"1802","intimidate",1
"1803","intolerant",1
"1804","intriguing",1
"1805","introduce",1
"1806","introvert",2
"1807","intuition",2
"1808","invasion",1
"1809","invent",2
"1810","invented",1
"1811","invention",3
"1812","inventor",2
"1813","inventory",1
"1814","investigate",1
"1815","investigation",1
"1816","investigator",1
"1817","invisible",1
"1818","invited",1
"1819","involve",1
"1820","irregular",1
"1821","irresponsible",1
"1822","irritable",1
"1823","irritate",3
"1824","irritating",2
"1825","island",16
"1826","islands",1
"1827","isolated",3
"1828","Israel",1
"1829","Italian",8
"1830","jackass",1
"1831","jacket",12
"1832","January",1
"1833","Japanese",1
"1834","jealousy",1
"1835","jewelry",13
"1836","Jewish",8
"1837","jiggle",2
"1838","Jigsaw",1
"1839","jingle",2
"1840","jittery",1
"1841","jobless",1
"1842","jogger",3
"1843","jogging",1
"1844","Johnny",1
"1845","joints",1
"1846","joking",1
"1847","Joseph",1
"1848","journal",3
"1849","journey",5
"1850","joyous",1
"1851","judges",1
"1852","judgment",2
"1853","jumping",1
"1854","jungle",6
"1855","Jupiter",3
"1856","Jurassic",1
"1857","justice",6
"1858","juvenile",1
"1859","kaleidoscope",1
"1860","kangaroo",1
"1861","karate",1
"1862","keeper",2
"1863","kernel",1
"1864","ketchup",6
"1865","kettle",3
"1866","keyboard",1
"1867","kidnap",2
"1868","kidney",2
"1869","killer",5
"1870","kilometer",1
"1871","kindergarten",1
"1872","kindness",4
"1873","kinetic",1
"1874","kingdom",6
"1875","kitchen",12
"1876","kitten",6
"1877","Kleenex",4
"1878","Knight",7
"1879","knowing",1
"1880","knowledge",25
"1881","knuckle",2
"1882","Kryptonite",1
"1883","lacking",1
"1884","ladder",5
"1885","ladies",1
"1886","lagoon",2
"1887","Lakers",1
"1888","landscape",3
"1889","language",13
"1890","larger",1
"1891","larynx",1
"1892","lasagna",1
"1893","lashes",1
"1894","lasting",3
"1895","lately",1
"1896","lather",1
"1897","launch",2
"1898","laundry",8
"1899","lawful",1
"1900","lawsuit",1
"1901","lawyer",21
"1902","leader",17
"1903","league",1
"1904","learner",2
"1905","learning",1
"1906","leather",11
"1907","leaves",6
"1908","lecture",4
"1909","leftovers",1
"1910","legend",2
"1911","lemonade",3
"1912","length",11
"1913","lengths",1
"1914","lenient",1
"1915","lenses",1
"1916","leopard",1
"1917","lesson",1
"1918","lethal",1
"1919","letters",8
"1920","lettuce",10
"1921","levels",1
"1922","lexicon",1
"1923","liberty",3
"1924","library",4
"1925","license",4
"1926","licorice",1
"1927","Lieutenant",4
"1928","lifestyle",1
"1929","lighter",2
"1930","lighthouse",1
"1931","lightning",7
"1932","lights",1
"1933","likelihood",1
"1934","likely",1
"1935","limber",2
"1936","limousine",1
"1937","Lincoln",2
"1938","lingerie",2
"1939","linguini",1
"1940","lipstick",4
"1941","liquid",7
"1942","liquor",13
"1943","Listen",10
"1944","literature",3
"1945","litter",1
"1946","little",20
"1947","lively",2
"1948","living",5
"1949","lizard",4
"1950","lobster",4
"1951","location",4
"1952","locker",1
"1953","lollipop",2
"1954","London",3
"1955","lonely",7
"1956","longer",1
"1957","looking",1
"1958","Looney",1
"1959","loosen",2
"1960","lopsided",1
"1961","lotion",2
"1962","lottery",2
"1963","Louisiana",1
"1964","lounge",2
"1965","lovely",1
"1966","lovers",1
"1967","loving",4
"1968","lowest",1
"1969","loyalty",2
"1970","lubricant",1
"1971","lubricate",2
"1972","ludicrous",1
"1973","luggage",3
"1974","lumber",1
"1975","lunatic",1
"1976","luxurious",2
"1977","luxury",2
"1978","macaroni",1
"1979","machine",21
"1980","madness",1
"1981","Madonna",1
"1982","magazine",16
"1983","magician",5
"1984","magnet",2
"1985","magnify",1
"1986","mailman",1
"1987","majority",3
"1988","Mallard",1
"1989","mammal",3
"1990","manager",7
"1991","manatee",1
"1992","mandatory",1
"1993","maniac",1
"1994","manners",7
"1995","mansion",2
"1996","manufacture",2
"1997","manufacturer",1
"1998","manuscript",1
"1999","marathon",1
"2000","marble",2
"2001","margarine",1
"2002","margin",1
"2003","marijuana",6
"2004","Marine",3
"2005","Marines",2
"2006","marker",3
"2007","market",6
"2008","marriage",19
"2009","married",1
"2010","marrow",1
"2011","martini",2
"2012","mascara",1
"2013","mashed",1
"2014","massage",4
"2015","master",5
"2016","masters",2
"2017","matching",1
"2018","material",6
"2019","matter",4
"2020","mattress",2
"2021","mature",11
"2022","maximum",2
"2023","mayonnaise",3
"2024","meadow",2
"2025","meager",1
"2026","meander",1
"2027","meaning",10
"2028","meaningful",1
"2029","meaningless",1
"2030","measles",1
"2031","measure",14
"2032","measurement",4
"2033","measures",1
"2034","meatballs",1
"2035","mechanic",2
"2036","mechanical",3
"2037","mechanism",1
"2038","medical",3
"2039","medication",1
"2040","medicine",22
"2041","medieval",2
"2042","mediocre",1
"2043","medium",4
"2044","meeting",15
"2045","mellow",2
"2046","melody",1
"2047","member",4
"2048","membrane",1
"2049","Memorial",2
"2050","memories",2
"2051","memory",7
"2052","menstruation",1
"2053","mental",3
"2054","mention",1
"2055","merchandise",1
"2056","message",4
"2057","meteor",2
"2058","meteorite",1
"2059","method",3
"2060","Methodist",2
"2061","metric",1
"2062","Mexican",2
"2063","Mexico",2
"2064","microphone",3
"2065","microscope",7
"2066","microwave",2
"2067","midday",1
"2068","middle",10
"2069","midget",2
"2070","midgets",1
"2071","midnight",1
"2072","migraine",1
"2073","mildew",2
"2074","military",14
"2075","milkshake",1
"2076","million",1
"2077","minded",2
"2078","mineral",4
"2079","minimize",1
"2080","minimum",2
"2081","miniscule",1
"2082","minister",3
"2083","minivan",1
"2084","Minnesota",1
"2085","minority",1
"2086","minute",5
"2087","minutes",1
"2088","mirage",3
"2089","mirror",8
"2090","misplace",1
"2091","misses",1
"2092","missile",2
"2093","missing",4
"2094","mission",4
"2095","Mississippi",2
"2096","misspell",1
"2097","mistake",7
"2098","mister",1
"2099","Misters",1
"2100","mistreat",1
"2101","mistrust",1
"2102","misunderstand",2
"2103","misunderstanding",1
"2104","misuse",1
"2105","Mitten",1
"2106","mittens",1
"2107","mixture",3
"2108","mobile",1
"2109","modern",2
"2110","modest",1
"2111","moisten",1
"2112","molecule",2
"2113","molehill",1
"2114","molten",1
"2115","moment",2
"2116","monarch",1
"2117","monarchy",2
"2118","monastery",1
"2119","Monday",4
"2120","monkey",16
"2121","monkeys",1
"2122","Monopoly",2
"2123","monotonous",2
"2124","monoxide",1
"2125","monster",10
"2126","monthly",3
"2127","months",1
"2128","monument",1
"2129","moonlight",1
"2130","moonshine",1
"2131","morality",1
"2132","morals",5
"2133","morning",15
"2134","Moscow",1
"2135","mosquito",5
"2136","mothballs",1
"2137","mother",23
"2138","motion",5
"2139","motionless",1
"2140","motive",1
"2141","motorcycle",6
"2142","mountains",2
"2143","mousse",1
"2144","movable",1
"2145","movement",6
"2146","moving",3
"2147","muffin",4
"2148","multiplication",1
"2149","multiply",5
"2150","murder",14
"2151","murderer",2
"2152","muscle",18
"2153","muscles",2
"2154","museum",1
"2155","mushroom",2
"2156","mustache",2
"2157","mustard",6
"2158","myself",2
"2159","mysterious",1
"2160","mystery",7
"2161","mystical",1
"2162","mythology",1
"2163","napkin",2
"2164","narrow",3
"2165","nation",2
"2166","national",2
"2167","nations",1
"2168","native",4
"2169","natural",3
"2170","nature",5
"2171","naughty",2
"2172","necessary",3
"2173","necessity",1
"2174","necklace",7
"2175","needed",1
"2176","needle",21
"2177","negative",7
"2178","neglect",1
"2179","negotiation",1
"2180","neighbor",1
"2181","neighborhood",5
"2182","neighbors",1
"2183","nephew",2
"2184","Neptune",2
"2185","nerves",3
"2186","nervous",17
"2187","neuron",2
"2188","neurons",1
"2189","neutral",1
"2190","Neutron",2
"2191","newspaper",20
"2192","Newton",2
"2193","Niagara",1
"2194","nickel",5
"2195","nicotine",1
"2196","nightgown",2
"2197","nightie",1
"2198","nightmare",1
"2199","nights",1
"2200","nitrogen",1
"2201","nonfiction",1
"2202","nonsense",2
"2203","nonsmoking",1
"2204","noodles",4
"2205","normal",11
"2206","Northern",1
"2207","nostril",1
"2208","notation",1
"2209","notebook",4
"2210","nothing",17
"2211","notice",4
"2212","novice",4
"2213","nuclear",3
"2214","nucleus",3
"2215","nuggets",1
"2216","numbers",9
"2217","numeral",1
"2218","nursery",1
"2219","nutrition",1
"2220","nylons",1
"2221","oatmeal",2
"2222","obedient",1
"2223","object",7
"2224","objective",4
"2225","objects",1
"2226","obligation",2
"2227","oblivious",1
"2228","obnoxious",4
"2229","observe",2
"2230","obsession",1
"2231","obstacle",3
"2232","obtain",2
"2233","obtuse",1
"2234","obvious",3
"2235","occasion",1
"2236","occasional",1
"2237","occupation",1
"2238","occupied",1
"2239","occurrence",2
"2240","October",1
"2241","octopus",1
"2242","offend",1
"2243","offense",3
"2244","office",12
"2245","officer",12
"2246","official",5
"2247","oligarchy",1
"2248","Olympics",6
"2249","omelet",2
"2250","oodles",1
"2251","opaque",1
"2252","opener",3
"2253","opening",7
"2254","operate",1
"2255","operated",1
"2256","operation",3
"2257","opinion",14
"2258","opinions",1
"2259","opponent",2
"2260","opportunity",2
"2261","oppose",2
"2262","opposite",5
"2263","optical",1
"2264","optics",1
"2265","optimistic",1
"2266","option",2
"2267","orange",24
"2268","orchard",1
"2269","orchestra",4
"2270","ordinary",4
"2271","oregano",1
"2272","organic",1
"2273","organism",1
"2274","organization",1
"2275","organize",6
"2276","organized",1
"2277","orgasm",2
"2278","Orient",1
"2279","Oriental",2
"2280","original",5
"2281","ornament",2
"2282","orthodontist",1
"2283","outcome",2
"2284","outdoors",4
"2285","outfit",2
"2286","outgoing",7
"2287","outlaw",3
"2288","outlet",2
"2289","outline",2
"2290","output",1
"2291","outside",7
"2292","outskirts",1
"2293","outstanding",1
"2294","outtake",1
"2295","outwit",1
"2296","ovation",1
"2297","overall",1
"2298","overbearing",1
"2299","overcome",3
"2300","overdrive",1
"2301","overflow",1
"2302","overhead",1
"2303","overload",2
"2304","overlook",1
"2305","overpower",1
"2306","overtake",1
"2307","overthrow",2
"2308","overview",1
"2309","overwhelm",1
"2310","oxidation",1
"2311","oxygen",6
"2312","oyster",3
"2313","package",3
"2314","paddle",4
"2315","painful",1
"2316","painter",1
"2317","painting",11
"2318","pajamas",4
"2319","palace",1
"2320","Panama",1
"2321","pancakes",6
"2322","Panther",2
"2323","panties",1
"2324","pantyhose",2
"2325","paperclip",1
"2326","papers",3
"2327","parade",1
"2328","paradise",3
"2329","paragraph",5
"2330","paraphrase",1
"2331","parcel",1
"2332","parched",1
"2333","pardon",1
"2334","parent",13
"2335","parents",11
"2336","parking",6
"2337","Parkway",1
"2338","parlor",1
"2339","Parmesan",1
"2340","parrot",3
"2341","parrots",1
"2342","parsley",1
"2343","participate",2
"2344","participation",1
"2345","particles",1
"2346","particular",2
"2347","partner",1
"2348","passage",2
"2349","passenger",2
"2350","passion",3
"2351","passive",3
"2352","password",1
"2353","Pastor",1
"2354","pasture",1
"2355","patent",1
"2356","pathetic",1
"2357","patience",2
"2358","patient",6
"2359","patriot",1
"2360","patriotic",1
"2361","patrol",1
"2362","pavement",4
"2363","Pavlov",1
"2364","payment",6
"2365","peaceful",6
"2366","peanut",8
"2367","peanuts",1
"2368","pebble",2
"2369","pebbles",1
"2370","pencil",17
"2371","penguin",1
"2372","penicillin",1
"2373","pennies",1
"2374","pepper",6
"2375","pepperoni",1
"2376","peppers",1
"2377","perceive",2
"2378","percent",2
"2379","perception",1
"2380","perfect",6
"2381","perfection",2
"2382","performance",3
"2383","performer",1
"2384","perfume",8
"2385","Perhaps",1
"2386","period",11
"2387","permanent",2
"2388","permission",4
"2389","permit",3
"2390","peroxide",2
"2391","perplex",1
"2392","perseverance",1
"2393","persistence",1
"2394","personal",3
"2395","personality",11
"2396","perspiration",1
"2397","perspire",1
"2398","persuade",4
"2399","pessimism",1
"2400","pessimistic",1
"2401","pester",1
"2402","petals",3
"2403","petroleum",2
"2404","Phantom",1
"2405","Pharaoh",1
"2406","pharmacy",1
"2407","philosophy",2
"2408","phlegm",1
"2409","photograph",1
"2410","phrase",4
"2411","phrases",1
"2412","physical",4
"2413","physician",1
"2414","physics",8
"2415","physiology",1
"2416","picket",1
"2417","pickle",1
"2418","pickles",3
"2419","picnic",5
"2420","pictures",1
"2421","pieces",1
"2422","pierced",1
"2423","pigeon",1
"2424","pigskin",1
"2425","pilgrims",1
"2426","pillow",11
"2427","pimple",2
"2428","Pincher",1
"2429","pioneer",1
"2430","pirate",3
"2431","Pisces",1
"2432","pissed",1
"2433","pistol",1
"2434","piston",1
"2435","pitcher",2
"2436","pitchfork",1
"2437","pituitary",1
"2438","planet",11
"2439","planets",3
"2440","planters",1
"2441","plants",4
"2442","plasma",1
"2443","plastic",4
"2444","plates",3
"2445","platform",1
"2446","Playboy",1
"2447","player",17
"2448","playground",5
"2449","playing",1
"2450","plaything",1
"2451","pleasant",2
"2452","please",3
"2453","pleasure",4
"2454","pledge",2
"2455","plentiful",1
"2456","plenty",7
"2457","pliable",1
"2458","pliers",2
"2459","plumber",2
"2460","plunger",1
"2461","pocket",4
"2462","pocketbook",3
"2463","poetry",6
"2464","points",4
"2465","poison",8
"2466","policeman",1
"2467","policy",2
"2468","polish",4
"2469","polite",7
"2470","politician",5
"2471","politics",17
"2472","pollution",3
"2473","pompous",1
"2474","ponder",3
"2475","popcorn",4
"2476","Popeye",1
"2477","popular",4
"2478","population",1
"2479","porcelain",2
"2480","porcupine",1
"2481","porpoise",1
"2482","portion",3
"2483","position",2
"2484","positive",6
"2485","possess",2
"2486","possessed",2
"2487","possession",3
"2488","possibility",3
"2489","possible",3
"2490","possum",1
"2491","postage",1
"2492","poster",2
"2493","postman",1
"2494","postpone",1
"2495","postulate",1
"2496","posture",1
"2497","potato",16
"2498","potatoes",1
"2499","potential",2
"2500","pottery",3
"2501","pounce",1
"2502","pounds",2
"2503","poverty",2
"2504","powder",2
"2505","powerful",4
"2506","practice",1
"2507","Praise",7
"2508","Prancer",1
"2509","prankster",1
"2510","prayer",3
"2511","preach",2
"2512","preacher",4
"2513","precaution",1
"2514","precious",1
"2515","precise",4
"2516","predator",1
"2517","prefer",1
"2518","pregnant",2
"2519","prehistoric",1
"2520","prejudice",3
"2521","premises",1
"2522","prepare",1
"2523","prepared",1
"2524","prescription",1
"2525","presence",4
"2526","present",17
"2527","presentation",1
"2528","presents",1
"2529","President",21
"2530","pressure",9
"2531","presume",1
"2532","pretend",2
"2533","pretzels",1
"2534","prevent",1
"2535","preview",2
"2536","priceless",1
"2537","prices",1
"2538","prickly",2
"2539","priest",21
"2540","Primavera",1
"2541","Prince",2
"2542","princess",5
"2543","principal",1
"2544","printer",3
"2545","printing",1
"2546","priority",1
"2547","prison",14
"2548","prisoner",6
"2549","privacy",1
"2550","private",11
"2551","privileges",1
"2552","probability",2
"2553","probably",2
"2554","procedure",1
"2555","process",3
"2556","procession",1
"2557","processor",1
"2558","procrastinate",2
"2559","produce",4
"2560","produced",1
"2561","producer",3
"2562","product",5
"2563","productive",1
"2564","products",2
"2565","profanity",1
"2566","professional",4
"2567","Professor",5
"2568","program",1
"2569","progressive",1
"2570","prohibit",2
"2571","projects",1
"2572","promise",7
"2573","promotion",1
"2574","pronoun",1
"2575","propeller",1
"2576","proper",3
"2577","property",9
"2578","proprietor",1
"2579","prosecute",1
"2580","prosper",2
"2581","prostitute",1
"2582","protect",4
"2583","protected",1
"2584","protection",10
"2585","protector",2
"2586","protein",1
"2587","protest",1
"2588","Protestant",2
"2589","proton",3
"2590","protractor",1
"2591","psychiatrist",1
"2592","psychic",1
"2593","psycho",1
"2594","psychological",1
"2595","psychologist",1
"2596","psychology",13
"2597","psychotherapy",1
"2598","psychotic",2
"2599","puberty",2
"2600","public",1
"2601","publisher",1
"2602","pudding",6
"2603","puddle",1
"2604","pulley",1
"2605","pumpkin",4
"2606","punctuation",3
"2607","punish",6
"2608","punishment",9
"2609","pupils",1
"2610","purchase",4
"2611","purchaser",1
"2612","purple",10
"2613","purpose",5
"2614","pursue",1
"2615","puzzle",7
"2616","pyramid",4
"2617","Pythagorean",1
"2618","Quaker",1
"2619","quality",2
"2620","quantity",3
"2621","quarrel",1
"2622","quarter",7
"2623","queasy",1
"2624","quench",2
"2625","questionable",1
"2626","questionnaire",1
"2627","questions",1
"2628","quickly",1
"2629","quotient",1
"2630","rabbit",11
"2631","raccoon",1
"2632","racism",3
"2633","racket",1
"2634","racquet",1
"2635","racquetball",2
"2636","radiation",2
"2637","radical",2
"2638","radish",1
"2639","radius",1
"2640","raging",1
"2641","Ragtime",1
"2642","railroad",4
"2643","rainbow",2
"2644","raiser",1
"2645","raisin",3
"2646","raisins",2
"2647","ransom",2
"2648","raspberry",4
"2649","rather",2
"2650","rattan",1
"2651","rattle",2
"2652","reaction",8
"2653","reader",3
"2654","readers",1
"2655","reading",2
"2656","Reagan",2
"2657","reality",3
"2658","reappear",1
"2659","reason",15
"2660","reasons",1
"2661","rebellious",1
"2662","reborn",1
"2663","rebuild",2
"2664","recall",1
"2665","receive",10
"2666","receiving",1
"2667","recent",2
"2668","reception",1
"2669","recessive",1
"2670","recipe",1
"2671","reckless",1
"2672","recognition",1
"2673","recommend",1
"2674","reconsider",1
"2675","record",5
"2676","recorder",2
"2677","recreation",1
"2678","rectangle",1
"2679","recycle",2
"2680","reduce",1
"2681","redundant",1
"2682","Reebok",1
"2683","referee",2
"2684","refinish",1
"2685","reflect",1
"2686","reflection",1
"2687","refreshing",1
"2688","refried",1
"2689","refrigerator",4
"2690","refuge",1
"2691","refuse",5
"2692","refute",1
"2693","regard",1
"2694","region",1
"2695","register",4
"2696","regret",2
"2697","regular",7
"2698","regulation",1
"2699","regulations",2
"2700","regurgitate",1
"2701","reindeer",3
"2702","reject",6
"2703","relation",1
"2704","relationship",8
"2705","relative",13
"2706","relativity",1
"2707","relaxed",2
"2708","release",7
"2709","reliable",3
"2710","relief",3
"2711","relieve",1
"2712","religious",8
"2713","reload",1
"2714","remain",1
"2715","remark",2
"2716","remedy",2
"2717","remember",9
"2718","remorse",1
"2719","remote",4
"2720","remove",10
"2721","remover",2
"2722","Renaissance",1
"2723","reorganize",1
"2724","repair",3
"2725","repeat",5
"2726","repellant",1
"2727","repetitive",2
"2728","replace",2
"2729","replay",1
"2730","replicate",1
"2731","report",5
"2732","reporter",2
"2733","representative",2
"2734","reprimand",2
"2735","reproduce",3
"2736","reptile",4
"2737","Republic",1
"2738","Republican",4
"2739","request",1
"2740","require",1
"2741","requirement",1
"2742","rescue",1
"2743","research",6
"2744","reservation",1
"2745","residence",1
"2746","resolution",1
"2747","resort",1
"2748","respect",5
"2749","respiration",1
"2750","respond",1
"2751","response",5
"2752","responsibility",3
"2753","responsible",2
"2754","restaurant",13
"2755","resting",1
"2756","restless",1
"2757","restraint",1
"2758","restriction",1
"2759","restroom",1
"2760","result",3
"2761","resume",1
"2762","resuscitate",1
"2763","retail",1
"2764","retain",1
"2765","retarded",1
"2766","retina",1
"2767","Retractor",1
"2768","retreat",1
"2769","return",5
"2770","reveal",1
"2771","reverent",1
"2772","reverse",2
"2773","review",3
"2774","revise",1
"2775","reward",5
"2776","rhythm",2
"2777","ribbon",3
"2778","riddle",1
"2779","ridicule",1
"2780","ridiculous",2
"2781","righteousness",1
"2782","rights",3
"2783","ripped",2
"2784","ritual",2
"2785","rivalry",1
"2786","Roadrunner",1
"2787","robber",11
"2788","robbery",3
"2789","robust",1
"2790","rocket",4
"2791","rodent",6
"2792","Rogers",2
"2793","roller",1
"2794","romance",6
"2795","romantic",2
"2796","rookie",1
"2797","roommate",2
"2798","rooster",2
"2799","rotate",1
"2800","rotten",4
"2801","routine",4
"2802","rowing",1
"2803","royalty",2
"2804","rubber",8
"2805","ruffle",1
"2806","rumbles",1
"2807","runaway",1
"2808","runner",3
"2809","runway",1
"2810","rushed",1
"2811","Russia",3
"2812","sacred",2
"2813","saddle",1
"2814","sadness",1
"2815","safety",6
"2816","sailor",3
"2817","salami",1
"2818","salary",2
"2819","salesman",1
"2820","salesperson",1
"2821","saliva",1
"2822","salmon",3
"2823","saltine",2
"2824","salute",2
"2825","sample",2
"2826","sandals",2
"2827","Sanders",1
"2828","sandpaper",1
"2829","Sandra",1
"2830","sandwich",17
"2831","sarcastic",1
"2832","satanic",1
"2833","satisfaction",1
"2834","satisfied",1
"2835","Saturday",4
"2836","Saturn",3
"2837","saucer",2
"2838","saucers",1
"2839","sausage",2
"2840","savant",1
"2841","savings",1
"2842","savior",4
"2843","saxophone",5
"2844","saying",4
"2845","scales",2
"2846","scalpel",1
"2847","scapegoat",1
"2848","scarcity",1
"2849","scarecrow",1
"2850","scatter",2
"2851","scenery",2
"2852","schedule",10
"2853","scheme",3
"2854","scholar",1
"2855","scholarship",1
"2856","scientific",1
"2857","scientist",7
"2858","scissors",4
"2859","Scorpio",2
"2860","Scotch",4
"2861","Scottish",1
"2862","Scrabble",1
"2863","scramble",2
"2864","scrape",2
"2865","scratch",9
"2866","scream",6
"2867","screen",3
"2868","screwdriver",3
"2869","script",1
"2870","scroll",1
"2871","Scrooge",1
"2872","scrumptious",1
"2873","sculpture",3
"2874","scurry",1
"2875","seafood",6
"2876","seagull",1
"2877","search",6
"2878","season",2
"2879","seasoning",5
"2880","seatbelt",4
"2881","secluded",2
"2882","second",8
"2883","seconds",1
"2884","secret",20
"2885","secretary",8
"2886","secretive",1
"2887","secrets",1
"2888","section",3
"2889","secure",8
"2890","security",6
"2891","segregate",1
"2892","seldom",1
"2893","select",2
"2894","selection",2
"2895","selfish",5
"2896","seller",2
"2897","semester",1
"2898","semesters",1
"2899","semicolon",1
"2900","Senate",3
"2901","Senator",3
"2902","senior",4
"2903","sensitive",2
"2904","sentence",9
"2905","sentences",1
"2906","sentimental",1
"2907","separate",11
"2908","separated",1
"2909","September",1
